257 	1000024 	halu 	2014-06-27 19:33 	C 	4.6.3 	#4 	00.00 sec 	519 byte 	27
258 	1004731 	jugemk 	2014-07-01 23:43 	C 	4.6.3 	#4 	00.00 sec 	247 byte 	23
259 	1007225 	jin_matakich 	2014-07-03 18:25 	C 	4.6.3 	#4 	00.00 sec 	351 byte 	23
260 	1014087 	ordovicia 	2014-07-09 17:20 	C 	4.6.3 	#4 	00.00 sec 	736 byte 	26
261 	1017056 	snsk 	2014-07-11 16:26 	C 	4.6.3 	#4 	00.00 sec 	455 byte 	32
262 	1020335 	Aqite_93 	2014-07-15 16:54 	C 	4.6.3 	#4 	00.00 sec 	700 byte 	27
263 	1021507 	homeless_ryuji 	2014-07-16 20:08 	C 	4.6.3 	#4 	00.00 sec 	479 byte 	26
264 	1021608 	complex_cs 	2014-07-16 23:41 	C 	4.6.3 	#4 	00.00 sec 	341 byte 	28
265 	1032810 	yukitohj 	2014-07-31 21:52 	C 	4.6.3 	#4 	00.00 sec 	444 byte 	27
266 	1039087 	erfanuap 	2014-08-08 01:18 	C 	4.6.3 	#4 	00.00 sec 	388 byte 	30
267 	1039483 	fes 	2014-08-08 13:44 	C 	4.6.3 	#4 	00.00 sec 	378 byte 	28
268 	1044409 	Glacier 	2014-08-13 14:39 	C 	4.6.3 	#4 	00.00 sec 	282 byte 	28
269 	1046253 	matetya911 	2014-08-15 18:08 	C 	4.6.3 	#4 	00.00 sec 	338 byte 	23
270 	1054973 	qzwpq 	2014-08-25 14:48 	C 	4.6.3 	#4 	00.00 sec 	245 byte 	25
271 	1056459 	rx78gp03 	2014-08-27 14:29 	C 	4.6.3 	#4 	00.00 sec 	295 byte 	21
272 	1062504 	cherrykurai 	2014-09-04 00:14 	C 	4.6.3 	#4 	00.00 sec 	404 byte 	24
273 	1064022 	renkonuma 	2014-09-05 17:16 	C 	4.6.3 	#4 	00.00 sec 	729 byte 	18
274 	1065038 	masayuki_aizu 	2014-09-08 15:58 	C 	4.6.3 	#4 	00.00 sec 	279 byte 	20
275 	1065494 	TKT29 	2014-09-08 21:54 	C 	4.6.3 	#4 	00.00 sec 	365 byte 	13
276 	1066329 	k_mori 	2014-09-09 17:27 	C 	4.6.3 	#4 	00.00 sec 	373 byte 	24
277 	1067171 	abcba 	2014-09-10 17:17 	C 	4.6.3 	#4 	00.00 sec 	328 byte 	22
278 	1069313 	rin_neko 	2014-09-12 21:25 	C 	4.6.3 	#4 	00.00 sec 	545 byte 	21
279 	1069652 	nakamasa 	2014-09-13 08:26 	C 	4.6.3 	#4 	00.00 sec 	404 byte 	16
280 	1069744 	_RcoM4 	2014-09-13 10:01 	C 	4.6.3 	#4 	00.00 sec 	368 byte 	32
281 	1070541 	karauri 	2014-09-14 10:08 	C 	4.6.3 	#4 	00.00 sec 	361 byte 	22
282 	1072512 	abab 	2014-09-16 15:24 	C 	4.6.3 	#4 	00.00 sec 	617 byte 	19
283 	1086889 	turtle2bee 	2014-10-01 18:16 	C 	4.6.3 	#4 	00.00 sec 	412 byte 	23
284 	1093260 	asato666 	2014-10-09 17:05 	C 	4.6.3 	#4 	00.00 sec 	441 byte 	29
285 	1093657 	mimi101 	2014-10-09 22:00 	C 	4.6.3 	#4 	00.00 sec 	481 byte 	22
286 	1094084 	motimoti 	2014-10-10 16:05 	C 	4.6.3 	#4 	00.00 sec 	330 byte 	18
287 	1101840 	tetsuke210 	2014-10-19 23:47 	C 	4.6.3 	#4 	00.00 sec 	449 byte 	4
288 	1107627 	shonP 	2014-10-25 19:04 	C 	4.6.3 	#4 	00.00 sec 	290 byte 	21
289 	1117948 	pythonpipi 	2014-11-06 16:54 	C 	4.6.3 	#4 	00.00 sec 	323 byte 	21
290 	1121440 	azuma962 	2014-11-10 18:01 	C 	4.6.3 	#4 	00.00 sec 	596 byte 	22
291 	1123675 	lrmystp 	2014-11-12 18:23 	C 	4.6.3 	#4 	00.00 sec 	464 byte 	24
292 	1129377 	monyo 	2014-11-17 22:40 	C 	4.6.3 	#4 	00.00 sec 	322 byte 	22
293 	1130465 	kuroneko398 	2014-11-18 21:08 	C 	4.6.3 	#4 	00.00 sec 	333 byte 	19
294 	1151035 	bayashi0327 	2014-12-09 15:14 	C 	4.6.3 	#4 	00.00 sec 	299 byte 	17
295 	1154662 	masaniwa 	2014-12-12 02:04 	C 	4.6.3 	#4 	00.00 sec 	279 byte 	22
296 	1162274 	ID_813 	2014-12-18 16:52 	C 	4.6.3 	#4 	00.00 sec 	407 byte 	18
297 	1187262 	bunbun4850 	2015-01-14 16:39 	C 	4.6.3 	#4 	00.00 sec 	409 byte 	19
298 	1196501 	fushime2 	2015-01-26 16:43 	C 	4.6.3 	#4 	00.00 sec 	537 byte 	26
299 	1207278 	ei1436 	2015-02-05 16:28 	C 	4.6.3 	#4 	00.00 sec 	311 byte 	23
300 	1220067 	mkjiro 	2015-02-17 17:25 	C 	4.6.3 	#4 	00.00 sec 	314 byte 	14
301 	1249129 	clan 	2015-03-15 15:09 	C 	4.6.3 	#4 	00.00 sec 	370 byte 	17
302 	1287785 	eshiho 	2015-04-12 22:44 	C 	4.6.3 	#4 	00.00 sec 	466 byte 	16
303 	1303117 	genghiskhan 	2015-04-19 05:04 	C 	4.6.3 	#4 	00.00 sec 	467 byte 	20
304 	1309909 	Kurokiri 	2015-04-21 21:07 	C 	4.6.3 	#4 	00.00 sec 	341 byte 	16
305 	1310736 	s1321114 	2015-04-22 12:22 	C 	4.6.3 	#4 	00.00 sec 	377 byte 	15
306 	1332404 	takuji 	2015-05-02 12:19 	C 	4.6.3 	#4 	00.00 sec 	345 byte 	20
307 	1344113 	kt64 	2015-05-11 17:35 	C 	4.6.3 	#4 	00.00 sec 	397 byte 	18
308 	1347128 	ei1540 	2015-05-13 16:02 	C 	4.6.3 	#4 	00.00 sec 	299 byte 	16
309 	1347138 	ida1ten0 	2015-05-13 16:05 	C 	4.6.3 	#4 	00.00 sec 	275 byte 	7
310 	1352753 	T1610 	2015-05-17 01:48 	C 	4.6.3 	#4 	00.00 sec 	295 byte 	18
311 	1357960 	Taka13 	2015-05-20 16:51 	C 	4.6.3 	#4 	00.00 sec 	304 byte 	33
312 	1380153 	koki8514 	2015-06-03 21:20 	C 	4.6.3 	#4 	00.00 sec 	253 byte 	13
313 	1382805 	kikuchi0408 	2015-06-05 15:21 	C 	4.6.3 	#4 	00.00 sec 	354 byte 	23
314 	1384428 	ee57047 	2015-06-06 18:39 	C 	4.6.3 	#4 	00.00 sec 	371 byte 	19
315 	1388456 	muratahiromu 	2015-06-09 18:24 	C 	4.6.3 	#4 	00.00 sec 	308 byte 	25
316 	1403504 	ytakata 	2015-06-18 15:38 	C 	4.6.3 	#4 	00.00 sec 	367 byte 	17
317 	1406483 	treeone 	2015-06-19 18:40 	C 	4.6.3 	#4 	00.00 sec 	322 byte 	17
318 	1410806 	cs15083 	2015-06-22 13:06 	C 	4.6.3 	#4 	00.00 sec 	294 byte 	20
319 	1427016 	koutarou 	2015-07-02 18:12 	C 	4.6.3 	#4 	00.00 sec 	405 byte 	16
320 	1430471 	kaku415815 	2015-07-05 00:07 	C 	4.6.3 	#4 	00.00 sec 	288 byte 	16
321 	1435531 	momohama 	2015-07-08 05:15 	C 	4.6.3 	#4 	00.00 sec 	343 byte 	10
322 	1445205 	k13016 	2015-07-14 19:49 	C 	4.6.3 	#4 	00.00 sec 	289 byte 	14
323 	1445856 	jhon 	2015-07-15 13:49 	C 	4.6.3 	#4 	00.00 sec 	348 byte 	24
324 	1457690 	foxtail 	2015-07-26 19:20 	C 	4.6.3 	#4 	00.00 sec 	1005 byte 	42
325 	1463666 	ogachan 	2015-08-01 14:50 	C 	4.6.3 	#4 	00.00 sec 	288 byte 	11
326 	1464169 	IS0283IR 	2015-08-02 11:13 	C 	4.6.3 	#4 	00.00 sec 	257 byte 	14
327 	1465854 	goron 	2015-08-03 18:45 	C 	4.6.3 	#4 	00.00 sec 	298 byte 	14
328 	1469746 	mimimi 	2015-08-06 23:40 	C 	4.6.3 	#4 	00.00 sec 	305 byte 	13
329 	1470806 	tkmst201 	2015-08-07 23:07 	C 	4.6.3 	#4 	00.00 sec 	316 byte 	4
330 	1479475 	saboten 	2015-08-15 14:23 	C 	4.6.3 	#4 	00.00 sec 	441 byte 	13
331 	1482123 	th1046 	2015-08-17 21:35 	C 	4.6.3 	#4 	00.00 sec 	291 byte 	9
332 	1491520 	blackptarmigan 	2015-08-24 22:19 	C 	4.6.3 	#4 	00.00 sec 	391 byte 	12
333 	1495722 	miniguti 	2015-08-28 22:42 	C 	4.6.3 	#4 	00.00 sec 	535 byte 	17
334 	1496328 	EDF1234 	2015-08-29 16:17 	C 	4.6.3 	#4 	00.00 sec 	278 byte 	11
335 	1609963 	physics0523 	2015-12-11 12:46 	C 	4.6.3 	#4 	00.00 sec 	312 byte 	15
336 	1515425 	kurokoji 	2015-09-16 13:59 	C 	4.6.3 	#4 	00.00 sec 	414 byte 	14
337 	1515455 	mito 	2015-09-16 14:16 	C 	4.6.3 	#4 	00.00 sec 	387 byte 	14
338 	1515503 	ryubi102395 	2015-09-16 14:44 	C 	4.6.3 	#4 	00.00 sec 	364 byte 	13
339 	1516025 	mi091339 	2015-09-16 21:37 	C 	4.6.3 	#4 	00.00 sec 	367 byte 	13
340 	1517688 	rrr1130 	2015-09-18 21:51 	C 	4.6.3 	#4 	00.00 sec 	552 byte 	10
341 	1520732 	awaryu725 	2015-09-22 03:12 	C 	4.6.3 	#4 	00.00 sec 	420 byte 	10
342 	1523073 	i_j_k 	2015-09-23 14:44 	C 	4.6.3 	#4 	00.00 sec 	415 byte 	11
343 	1531474 	tanushimaru 	2015-10-01 15:39 	C 	4.6.3 	#4 	00.00 sec 	294 byte 	15
344 	1536811 	sutuka2go 	2015-10-04 17:06 	C 	4.6.3 	#4 	00.00 sec 	547 byte 	14
345 	1545106 	AnycleLiu 	2015-10-12 15:40 	C 	4.6.3 	#4 	00.00 sec 	482 byte 	19
346 	1548805 	yuttoku 	2015-10-16 12:33 	C 	4.6.3 	#4 	00.00 sec 	772 byte 	17
347 	1556261 	byakko514 	2015-10-22 18:39 	C 	4.6.3 	#4 	00.00 sec 	317 byte 	15
348 	1563829 	als 	2015-10-29 14:29 	C 	4.6.3 	#4 	00.00 sec 	282 byte 	11
349 	1602389 	SUGAr 	2015-12-05 10:40 	C 	4.6.3 	#4 	00.00 sec 	275 byte 	12
350 	1606694 	FromNkichi 	2015-12-09 11:29 	C 	4.6.3 	#4 	00.00 sec 	356 byte 	12
351 	1617909 	dontsentouin 	2015-12-18 21:49 	C 	4.6.3 	#4 	00.00 sec 	286 byte 	13
352 	1676226 	NicoMaki 	2016-02-17 20:48 	C 	4.6.3 	#4 	00.00 sec 	643 byte 	10
353 	1713126 	shi_o 	2016-03-26 15:13 	C 	4.6.3 	#4 	00.00 sec 	341 byte 	7
354 	1722352 	GuriTech 	2016-04-05 23:48 	C 	4.6.3 	#4 	00.00 sec 	312 byte 	7
355 	1735316 	TAKECARRY 	2016-04-14 16:53 	C 	4.6.3 	#4 	00.00 sec 	353 byte 	38
356 	1760575 	tkosuger2072 	2016-04-25 14:17 	C 	4.6.3 	#4 	00.00 sec 	990 byte 	6
357 	1766380 	is0384er 	2016-04-27 19:08 	C 	4.6.3 	#4 	00.00 sec 	293 byte 	29
358 	1766390 	shield_84 	2016-04-27 19:14 	C 	4.6.3 	#4 	00.00 sec 	373 byte 	32
359 	1771548 	ootamutsuko 	2016-04-30 00:09 	C 	4.6.3 	#4 	00.00 sec 	373 byte 	7
360 	1784045 	xeq41887 	2016-05-08 01:42 	C 	4.6.3 	#4 	00.00 sec 	372 byte 	29
361 	1785009 	arupakamex 	2016-05-08 21:39 	C 	4.6.3 	#4 	00.00 sec 	470 byte 	5
362 	1785039 	uchina 	2016-05-08 21:56 	C 	4.6.3 	#4 	00.00 sec 	257 byte 	4
363 	1791463 	shin_kyushu_icpc 	2016-05-11 11:53 	C 	4.6.3 	#4 	00.00 sec 	474 byte 	2
364 	1799222 	potarakun337 	2016-05-14 13:25 	C 	4.6.3 	#4 	00.00 sec 	278 byte 	32
365 	1799832 	Tenhou 	2016-05-14 18:00 	C 	4.6.3 	#4 	00.00 sec 	510 byte 	2
366 	1803750 	MU_000 	2016-05-16 20:01 	C 	4.6.3 	#4 	00.00 sec 	321 byte 	2
367 	1804659 	noteton 	2016-05-17 11:21 	C 	4.6.3 	#4 	00.00 sec 	288 byte 	34
368 	1814055 	April 	2016-05-21 10:25 	C 	4.6.3 	#4 	00.00 sec 	466 byte 	3
369 	1818875 	raimulimeryme 	2016-05-23 23:06 	C 	4.6.3 	#4 	00.00 sec 	219 byte 	2
370 	1827917 	morumotto 	2016-05-28 05:28 	C 	4.6.3 	#4 	00.00 sec 	304 byte 	7
371 	1829859 	ci012040 	2016-05-29 17:19 	C 	4.6.3 	#4 	00.00 sec 	331 byte 	3
372 	1831962 	kyushu1996 	2016-05-31 00:00 	C 	4.6.3 	#4 	00.00 sec 	405 byte 	2
373 	1831997 	DJ_SUWAKO 	2016-05-31 00:34 	C 	4.6.3 	#4 	00.00 sec 	476 byte 	3
374 	1838440 	Keisuke_O 	2016-06-03 17:11 	C 	4.6.3 	#4 	00.00 sec 	261 byte 	2
375 	1857010 	pure_4183c 	2016-06-14 17:56 	C 	4.6.3 	#4 	00.00 sec 	323 byte 	4
376 	1869559 	Kakky 	2016-06-20 22:36 	C 	4.6.3 	#4 	00.00 sec 	365 byte 	4
